project_name,project_id,year,title,category,phases,program,country,city,street,number,number_range,canton/region,zip-code,gps_latitude,gps_longitude,cad_num,client,building_costs,currency,depth,subphase
050.016_remsistrasse.weggis,50,2016,remsistrasse.weggis,urban planning,2,layout plan,Switzerland,Weggis,Remsistrasse,,,Lucerne,6353,47.0378467067785,8.42444521315596,,private,"4,000,000",CHF,3,construction project
051.016_grüzefeld.winterthur,51,2016,grüzefeld.winterthur,urban planning,2,facade variants,Switzerland,Winterthur,Grüzefeldstrasse,,,Zurich,8400,47.4954154525571,8.75038063067518,,,,,1(2),preliminary project
052.016_meientalstrasse.zürich,52,2016,meientalstrasse.zürich,transformation,3,housing,Switzerland,Zurich,Meientalstrasse,79,,Zurich,8048,47.3862532485635,8.47644670845778,,private,"2,000,000",CHF,3,built
053.016_maseltrangen.schänis,53,2016,maseltrangen.schänis,single building,2,housing,Switzerland,Schänis,,,,St. Gallen,8718,47.1906560788788,9.05265258304574,,,,,1,competition
054.016_marktgasse.biel,54,2016,marktgasse.biel,transformation,2,housing,Switzerland,Biel,Marktgasse,5-9,,Bern,2502,46.9479176123370,7.44707489684278,,,,,1,preliminary project
055.016_abiic.nigeria,55,2016,abiic.nigeria,installation,2,city vision,Nigeria,,,,,,,7.3152526231070,8.27692386285865,,,,,1(2),free project
056.017_kettberg.zürich,56,2017,kettberg.zürich,single building,2,housing,Switzerland,Zurich,Kettberg,31,,Zurich,8049,47.3986270339986,8.51405024605620,,private,"4,500,000",CHF,3,competition
057.017_oberseeweg.rapperswil,57,2017,oberseeweg.rapperswil,urban planning,2,housing,Switzerland,Rapperswil-Jona,Oberseeweg,,,St. Gallen,8633,47.2222723618730,8.82968880791680,,,,,1(2),competition
058.017_domus.milano.1019.werneroechslin,58,2017,domus.milano.1019.werneroechslin,activity,3,text,Italy,Milan,,,,Lombardy,20019,47.1251790280734,8.74809629362220,,,,,1(3),publication
059.017_eichliackerstrasse.winterthur,59,2017,eichliackerstrasse.winterthur,single building,2,housing,Switzerland,Winterthur,Eichliackerstrasse,,63-65,Zurich,8406,47.4877914357222,8.71294085877730,,,,,1,preliminary project
060.017_binzackerstrasse.wetzikon,60,2017,binzackerstrasse.wetzikon,urban planning,2,housing,Switzerland,Wetzikon,Binzackerstrasse,,,Zurich,8620,47.3302706979070,8.80236707767215,,,,,1(2),preliminary project
